question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count
2023-071_q17,Which party is best at representing the interests of people living in rural areas and small towns?,2023 APSA Omnibus Survey #2023-071,which-party-is-best-at-representing-the-interests-of-people-living-in-rural-areas-and-small-towns,https://verasight-apsa-2023.tiiny.co,1000,1000.0000000000005,+/- 3.4%,false,3
2023-071_q21,When you think about being “un-American” what groups of people come to mind?,2023 APSA Omnibus Survey #2023-071,when-you-think-about-being-un-american-what-groups-of-people-come-to-mind,https://verasight-apsa-2023.tiiny.co,1000,1000.0000000000039,+/- 3.4%,true,11
2024-006_a82_jackson,"To the best of your knowledge, what is the legal status of abortion in your state as of today?",Verasight Interdisciplinary Omnibus Survey #2024-006,to-the-best-of-your-knowledge-what-is-the-legal-status-of-abortion-in-your-state-as-of-today,https://reports.verasight.io/reports/verasight-interdisciplinary-omnibus-survey-2024-006#to-the-best-of-your-knowledge-what-is-the-legal-status-of-abortion-in-your-state-as-of-today,1000,1000.0000000000005,+/- 3.4%,false,6
2024-037_q4,"In the scenario where former president Donald Trump is in the 2024 presidential election, is not declared the winner, and there are widespread claims (true or not) of the election being rigged: Do you support or oppose a united political action for defending former president Trump?","Verasight MPSA Omnibus Survey #2024-037, module 1",in-the-scenario-where-former-president-donald-trump-is-in-the-2024-presidential-election-is-not-declared-the-winner-and-there-are-widespread-claims-true-or-not-of-the-election,https://verasight-mpsa-2024.tiiny.co,1000,1000,+/- 3.4%,false,3
2024-103_educ_pol_1,What aspect of your country do you feel most proud of?,education and politics,what-aspect-of-your-country-do-you-feel-most-proud-of,https://verasight-apsa-2024.tiiny.co,1000,1000,+/- 3.4%,false,7
2024-103_educ_pol_10,Which candidate do you think will win the most votes in the November 2024 US Presidential Election?,education and politics,which-candidate-do-you-think-will-win-the-most-votes-in-the-november-2024-us-presidential-election,https://verasight-apsa-2024.tiiny.co,1000,1000,+/- 3.4%,false,3
2024-103_educ_pol_11,"If you attended school after high school, which of the following most closely matches your area of study?",education and politics,if-you-attended-school-after-high-school-which-of-the-following-most-closely-matches-your-area-of-study,https://verasight-apsa-2024.tiiny.co,1000,1000,+/- 3.4%,true,8
2024-103_educ_pol_12,"If you had $100 to bet on the winner of the Presidential election, which candidate would you place your bet on to win?",education and politics,if-you-had-100-to-bet-on-the-winner-of-the-presidential-election-which-candidate-would-you-place-your-bet-on-to-win,https://verasight-apsa-2024.tiiny.co,1000,1000,+/- 3.4%,false,4
2024-103_educ_pol_13,Please indicate the degree by which you disagree or agree with the following statement: Medical professionals can be trusted.,education and politics,please-indicate-the-degree-by-which-you-disagree-or-agree-with-the-following-statement-medical-professionals-can-be-trusted,https://verasight-apsa-2024.tiiny.co,1000,1000,+/- 3.4%,false,7
2024-103_educ_pol_14,Please indicate the extent to which you agree or disagree with the following statement: American universities have become too focused on questions of race and social justice at the expense of traditional topics of study.,education and politics,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-american-universities-have-become-too-focused-on-questions-of-race-and-social-justice-at,https://verasight-apsa-2024.tiiny.co,1000,1000,+/- 3.4%,false,4
